OUTPUT FOR RE-WEIGHTED WEIGHTS:

output for rbf kernel for all c and gamma :

c= 32 ;gamma= 0.125 ;score= 0.7297297297297297
c= 32 ;gamma= 0.5 ;score= 0.7428571428571429
c= 32 ;gamma= 2 ;score= 0.7741935483870968
c= 32 ;gamma= 8 ;score= 0.7096774193548387
c= 32 ;gamma= 32 ;score= 0.5483870967741935
c= 32 ;gamma= 16 ;score= 0.6857142857142857
c= 32 ;gamma= 64 ;score= 0.5483870967741935
c= 32 ;gamma= 128 ;score= 0.41935483870967744
c= 32 ;gamma= 16 ;score= 0.6857142857142857
c= 64 ;gamma= 3.0517578125e-05 ;score= 0.48484848484848486
c= 64 ;gamma= 0.0001220703125 ;score= 0.4864864864864865
c= 64 ;gamma= 0.00048828125 ;score= 0.5675675675675675
c= 64 ;gamma= 0.001953125 ;score= 0.5454545454545454
c= 64 ;gamma= 0.0078125 ;score= 0.7837837837837838
c= 64 ;gamma= 0.03125 ;score= 0.7567567567567568
c= 64 ;gamma= 0.125 ;score= 0.7297297297297297
c= 64 ;gamma= 0.5 ;score= 0.7428571428571429
c= 64 ;gamma= 2 ;score= 0.7027027027027027
c= 64 ;gamma= 8 ;score= 0.7096774193548387
c= 64 ;gamma= 32 ;score= 0.5483870967741935
c= 64 ;gamma= 16 ;score= 0.6857142857142857
c= 64 ;gamma= 64 ;score= 0.5483870967741935
c= 64 ;gamma= 128 ;score= 0.41935483870967744
c= 64 ;gamma= 16 ;score= 0.6857142857142857
c= 128 ;gamma= 3.0517578125e-05 ;score= 0.5151515151515151
c= 128 ;gamma= 0.0001220703125 ;score= 0.4864864864864865
c= 128 ;gamma= 0.00048828125 ;score= 0.6756756756756757
c= 128 ;gamma= 0.001953125 ;score= 0.5454545454545454
c= 128 ;gamma= 0.0078125 ;score= 0.7837837837837838
c= 128 ;gamma= 0.03125 ;score= 0.7567567567567568
c= 128 ;gamma= 0.125 ;score= 0.7297297297297297
c= 128 ;gamma= 0.5 ;score= 0.7567567567567568
c= 128 ;gamma= 2 ;score= 0.7027027027027027
c= 128 ;gamma= 8 ;score= 0.7096774193548387
c= 128 ;gamma= 32 ;score= 0.5483870967741935
c= 128 ;gamma= 16 ;score= 0.6857142857142857
c= 128 ;gamma= 64 ;score= 0.5483870967741935
c= 128 ;gamma= 128 ;score= 0.41935483870967744
c= 128 ;gamma= 16 ;score= 0.6857142857142857
c= 256 ;gamma= 3.0517578125e-05 ;score= 0.4864864864864865
c= 256 ;gamma= 0.0001220703125 ;score= 0.5405405405405406
c= 256 ;gamma= 0.00048828125 ;score= 0.5675675675675675
c= 256 ;gamma= 0.001953125 ;score= 0.6666666666666666
c= 256 ;gamma= 0.0078125 ;score= 0.7567567567567568
c= 256 ;gamma= 0.03125 ;score= 0.7567567567567568
c= 256 ;gamma= 0.125 ;score= 0.6756756756756757
c= 256 ;gamma= 0.5 ;score= 0.7567567567567568
c= 256 ;gamma= 2 ;score= 0.7027027027027027
c= 256 ;gamma= 8 ;score= 0.7096774193548387
c= 256 ;gamma= 32 ;score= 0.5483870967741935
c= 256 ;gamma= 16 ;score= 0.6857142857142857
c= 256 ;gamma= 64 ;score= 0.5483870967741935
c= 256 ;gamma= 128 ;score= 0.41935483870967744
c= 256 ;gamma= 16 ;score= 0.6857142857142857
c= 512 ;gamma= 3.0517578125e-05 ;score= 0.4864864864864865
c= 512 ;gamma= 0.0001220703125 ;score= 0.6756756756756757
c= 512 ;gamma= 0.00048828125 ;score= 0.5675675675675675
c= 512 ;gamma= 0.001953125 ;score= 0.7837837837837838
c= 512 ;gamma= 0.0078125 ;score= 0.7297297297297297
c= 512 ;gamma= 0.03125 ;score= 0.7837837837837838
c= 512 ;gamma= 0.125 ;score= 0.7142857142857143
c= 512 ;gamma= 0.5 ;score= 0.7297297297297297
c= 512 ;gamma= 2 ;score= 0.7027027027027027
c= 512 ;gamma= 8 ;score= 0.7096774193548387
c= 512 ;gamma= 32 ;score= 0.5483870967741935
c= 512 ;gamma= 16 ;score= 0.6857142857142857
c= 512 ;gamma= 64 ;score= 0.5483870967741935
c= 512 ;gamma= 128 ;score= 0.41935483870967744
c= 512 ;gamma= 16 ;score= 0.6857142857142857
c= 1024 ;gamma= 3.0517578125e-05 ;score= 0.5405405405405406
c= 1024 ;gamma= 0.0001220703125 ;score= 0.5945945945945946
c= 1024 ;gamma= 0.00048828125 ;score= 0.6774193548387096
c= 1024 ;gamma= 0.001953125 ;score= 0.7837837837837838
c= 1024 ;gamma= 0.0078125 ;score= 0.7567567567567568
c= 1024 ;gamma= 0.03125 ;score= 0.7027027027027027
c= 1024 ;gamma= 0.125 ;score= 0.7142857142857143
c= 1024 ;gamma= 0.5 ;score= 0.7297297297297297
c= 1024 ;gamma= 2 ;score= 0.7027027027027027
c= 1024 ;gamma= 8 ;score= 0.7096774193548387
c= 1024 ;gamma= 32 ;score= 0.5483870967741935
c= 1024 ;gamma= 16 ;score= 0.6857142857142857
