Output for one vs all :

output for rbf:

degree= 4 c= 0.25 ;score= 0.7419354838709677
degree= 4 c= 0.5 ;score= 0.7741935483870968
degree= 4 c= 2 ;score= 0.6857142857142857
degree= 4 c= 4 ;score= 0.6571428571428571
degree= 4 c= 16 ;score= 0.6571428571428571
degree= 4 c= 8 ;score= 0.6129032258064516
degree= 1 c= 0.03125 ;score= 0.6451612903225806
degree= 1 c= 0.0625 ;score= 0.6129032258064516
degree= 1 c= 0.125 ;score= 0.6129032258064516
degree= 1 c= 0.25 ;score= 0.6129032258064516
degree= 1 c= 0.5 ;score= 0.6129032258064516
degree= 1 c= 2 ;score= 0.6285714285714286
degree= 1 c= 4 ;score= 0.6285714285714286
degree= 1 c= 16 ;score= 0.6285714285714286
degree= 1 c= 8 ;score= 0.6285714285714286
degree= 2 c= 0.03125 ;score= 0.6285714285714286
degree= 2 c= 0.0625 ;score= 0.6285714285714286
degree= 2 c= 0.125 ;score= 0.6571428571428571
degree= 2 c= 0.25 ;score= 0.6774193548387096
degree= 2 c= 0.5 ;score= 0.6774193548387096
degree= 2 c= 2 ;score= 0.7741935483870968
degree= 2 c= 4 ;score= 0.8064516129032258
degree= 2 c= 16 ;score= 0.7419354838709677
degree= 2 c= 8 ;score= 0.8064516129032258
degree= 3 c= 0.03125 ;score= 0.7419354838709677
degree= 3 c= 0.0625 ;score= 0.7419354838709677
degree= 3 c= 0.125 ;score= 0.7741935483870968
degree= 3 c= 0.25 ;score= 0.7741935483870968
degree= 3 c= 0.5 ;score= 0.7567567567567568
degree= 3 c= 2 ;score= 0.7419354838709677
degree= 3 c= 4 ;score= 0.7419354838709677
degree= 3 c= 16 ;score= 0.7096774193548387
degree= 3 c= 8 ;score= 0.6756756756756757
degree= 4 c= 0.03125 ;score= 0.7741935483870968
degree= 4 c= 0.0625 ;score= 0.6857142857142857
degree= 4 c= 0.125 ;score= 0.6857142857142857
degree= 4 c= 0.25 ;score= 0.6571428571428571
degree= 4 c= 0.5 ;score= 0.6129032258064516
degree= 4 c= 2 ;score= 0.6571428571428571
degree= 4 c= 4 ;score= 0.6285714285714286
degree= 4 c= 16 ;score= 0.6285714285714286
degree= 4 c= 8 ;score= 0.6285714285714286
degree= 1 c= 0.03125 ;score= 0.6129032258064516
degree= 1 c= 0.0625 ;score= 0.6129032258064516
degree= 1 c= 0.125 ;score= 0.6129032258064516
degree= 1 c= 0.25 ;score= 0.6129032258064516
