Output for one vs one :

output for rbf 

c= 128 ;gamma= 0.125 ;score= 0.7297297297297297
c= 128 ;gamma= 0.5 ;score= 0.7567567567567568
c= 128 ;gamma= 2 ;score= 0.7027027027027027
c= 128 ;gamma= 8 ;score= 0.7096774193548387
c= 128 ;gamma= 32 ;score= 0.5483870967741935
c= 128 ;gamma= 16 ;score= 0.6857142857142857
c= 128 ;gamma= 64 ;score= 0.5483870967741935
c= 128 ;gamma= 128 ;score= 0.41935483870967744
c= 128 ;gamma= 16 ;score= 0.6857142857142857
c= 256 ;gamma= 3.0517578125e-05 ;score= 0.48484848484848486
c= 256 ;gamma= 0.0001220703125 ;score= 0.6060606060606061
c= 256 ;gamma= 0.00048828125 ;score= 0.5483870967741935
c= 256 ;gamma= 0.001953125 ;score= 0.7297297297297297
c= 256 ;gamma= 0.0078125 ;score= 0.7837837837837838
c= 256 ;gamma= 0.03125 ;score= 0.8108108108108109
c= 256 ;gamma= 0.125 ;score= 0.7142857142857143
c= 256 ;gamma= 0.5 ;score= 0.7297297297297297
c= 256 ;gamma= 2 ;score= 0.7027027027027027
c= 256 ;gamma= 8 ;score= 0.7096774193548387
c= 256 ;gamma= 32 ;score= 0.5483870967741935
c= 256 ;gamma= 16 ;score= 0.6857142857142857
c= 256 ;gamma= 64 ;score= 0.5483870967741935
c= 256 ;gamma= 128 ;score= 0.41935483870967744
c= 256 ;gamma= 16 ;score= 0.6857142857142857
c= 512 ;gamma= 3.0517578125e-05 ;score= 0.5151515151515151
c= 512 ;gamma= 0.0001220703125 ;score= 0.5161290322580645
c= 512 ;gamma= 0.00048828125 ;score= 0.5806451612903226
c= 512 ;gamma= 0.001953125 ;score= 0.7741935483870968
c= 512 ;gamma= 0.0078125 ;score= 0.8064516129032258
c= 512 ;gamma= 0.03125 ;score= 0.7419354838709677
c= 512 ;gamma= 0.125 ;score= 0.7428571428571429
c= 512 ;gamma= 0.5 ;score= 0.7567567567567568
c= 512 ;gamma= 2 ;score= 0.7027027027027027
c= 512 ;gamma= 8 ;score= 0.7096774193548387
c= 512 ;gamma= 32 ;score= 0.5483870967741935
c= 512 ;gamma= 16 ;score= 0.6857142857142857
c= 512 ;gamma= 64 ;score= 0.5483870967741935
c= 512 ;gamma= 128 ;score= 0.41935483870967744
c= 512 ;gamma= 16 ;score= 0.6857142857142857
c= 1024 ;gamma= 3.0517578125e-05 ;score= 0.6060606060606061
c= 1024 ;gamma= 0.0001220703125 ;score= 0.5806451612903226
c= 1024 ;gamma= 0.00048828125 ;score= 0.7096774193548387
c= 1024 ;gamma= 0.001953125 ;score= 0.7837837837837838
c= 1024 ;gamma= 0.0078125 ;score= 0.8108108108108109
c= 1024 ;gamma= 0.03125 ;score= 0.7142857142857143
c= 1024 ;gamma= 0.125 ;score= 0.7142857142857143
c= 1024 ;gamma= 0.5 ;score= 0.7297297297297297
c= 1024 ;gamma= 2 ;score= 0.7027027027027027
c= 1024 ;gamma= 8 ;score= 0.7096774193548387
c= 1024 ;gamma= 32 ;score= 0.5483870967741935
c= 1024 ;gamma= 16 ;score= 0.6857142857142857
c= 1024 ;gamma= 64 ;score= 0.5483870967741935
c= 1024 ;gamma= 128 ;score= 0.41935483870967744
c= 1024 ;gamma= 16 ;score= 0.6857142857142857

optimal hyperparameter are: c= 32 gamma= 0.5 accuracy= 0.8108108108108109
overall accuracy for rbf 0.7906976744186046

output for linear:

c= 0.03125 score= 0.5152884324977348
c= 0.0625 score= 0.5554449813752138
c= 0.125 score= 0.542450417799255
c= 0.25 score= 0.5939222792711165
c= 0.5 score= 0.6215676700560422
c= 1 score= 0.6556369341253062
c= 2 score= 0.66438873787711
c= 4 score= 0.6882462498741568
c= 8 score= 0.6830297996577066
c= 16 score= 0.6973371589650659
c= 32 score= 0.6684796469680192
c= 64 score= 0.6964280680559751
c= 128 score= 0.7009735226014296
c= 256 score= 0.7147202926272694
c= 512 score= 0.7150640961106077
c= 1024 score= 0.691670861438303

optimal hyperparameter are: c= 128 accuracy= 0.7954545454545454
